143,20,4,1,5,4,6,26,2,3,31,18,8,4,11,16,5,10,14,4,1,38,3,18,4,3,19,3,1,0,31,3,10,0,6,12,2,6,0,3,25,40,11,8,0,3,2,1,2,13,1,1,1,1,1,34,9,1,7,0,0,0,3,1,36,0,2,1,1,2,3,1,0,0,12,4,3,0,0,0,3,0,0,2,3,19,4,6,13,2,0,34,1,15,5,8,6,2,33,39,2,20,33,0,2,5,17,12,11,64,19,2,4,14,1,3,1,0,1,2,8
20,58,0,4,4,4,9,12,1,1,19,13,7,1,1,3,6,3,12,0,2,11,0,0,2,2,3,1,0,0,9,0,1,1,1,8,3,1,1,1,2,4,4,3,0,0,3,4,2,6,2,3,2,0,0,11,3,1,0,0,1,3,0,3,9,0,2,0,2,0,1,1,1,2,7,1,0,3,0,1,0,0,0,1,2,1,1,3,2,0,0,14,1,11,2,4,0,0,16,19,4,2,4,2,1,1,15,2,3,19,3,0,1,5,0,7,0,0,2,1,3
4,0,14,0,0,1,1,2,1,0,0,5,1,1,2,2,0,0,2,0,0,8,1,1,0,0,1,0,0,0,5,1,0,0,0,2,0,0,1,0,3,2,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,1,0,1,0,2,2,3,0,1,1,0,0,1,1,1,0,5,1,0,3,2,0,2,2,0,1,0,0
1,4,0,23,0,3,7,14,2,0,1,3,8,4,1,2,4,4,3,0,0,0,3,2,0,0,0,2,0,0,0,0,0,1,1,6,0,2,0,5,0,2,2,1,0,1,0,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,3,0,0,7,13,5,1,2,3,1,3,12,0,2,2,0,1,0,0,0,1,0,0,0,0,1
5,4,0,0,89,10,8,17,1,1,10,16,4,5,3,6,6,19,8,3,2,22,3,2,2,5,3,5,3,0,8,2,1,4,1,10,14,2,0,3,12,9,35,3,0,12,14,2,0,10,10,6,0,0,0,16,4,0,1,3,5,2,8,2,16,1,1,0,0,2,2,0,0,4,5,1,0,2,0,6,1,0,0,2,5,3,0,1,2,2,0,5,3,0,2,9,0,0,11,35,11,5,3,10,5,8,25,7,1,16,11,1,0,6,0,2,0,1,5,0,13
4,4,1,3,10,93,4,21,4,13,4,26,15,0,8,15,10,13,30,1,4,24,1,4,2,8,3,5,0,3,2,2,4,4,4,14,7,5,0,1,6,9,8,6,2,5,4,0,2,2,1,2,1,0,0,30,6,1,4,4,9,1,1,5,18,1,1,1,0,0,2,1,1,3,4,1,0,0,0,14,0,1,0,3,1,2,0,0,4,1,0,7,2,0,1,12,0,0,17,30,12,6,7,0,4,6,24,6,2,12,7,2,0,18,0,2,0,1,0,0,22
6,9,1,7,8,4,92,20,1,0,12,29,26,3,6,9,5,14,17,1,5,8,6,4,0,5,3,0,0,3,5,2,5,1,2,48,2,19,7,5,7,5,10,7,1,7,3,5,1,17,2,2,1,1,0,24,5,1,1,2,0,3,3,4,21,0,1,0,1,0,0,1,2,2,4,0,0,0,0,0,0,1,0,1,1,3,2,1,3,5,0,8,1,0,5,3,5,0,19,24,9,4,5,17,3,1,17,0,0,16,9,2,0,8,0,9,1,0,0,0,9
26,12,2,14,17,21,20,219,8,12,10,77,47,5,8,18,23,39,46,2,17,64,13,10,11,5,14,7,1,0,8,1,8,5,4,26,3,17,1,4,15,18,23,15,2,9,4,5,2,28,3,13,2,0,2,99,16,1,7,8,8,2,9,4,61,2,15,0,8,0,5,2,1,3,5,2,1,4,0,11,3,1,1,7,6,6,6,2,16,1,1,20,0,1,6,14,0,0,44,98,25,9,34,21,12,15,26,7,6,36,6,10,1,20,1,3,1,1,2,0,23
2,1,1,2,1,4,1,8,31,2,0,5,6,4,6,5,2,6,4,2,0,12,5,3,0,0,0,0,0,1,0,1,5,1,2,6,1,4,0,0,1,0,4,1,0,3,1,2,0,1,1,0,0,0,0,6,0,0,0,3,0,0,3,3,4,0,1,1,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,2,3,0,0,1,0,0,11,15,1,4,8,4,1,2,6,0,0,3,3,0,0,3,1,0,0,0,1,0,0
3,1,0,0,1,13,0,12,2,45,4,9,4,0,3,16,3,5,15,0,1,0,1,0,0,5,1,2,0,0,3,0,0,0,0,11,0,5,0,2,3,2,0,2,0,2,2,1,12,6,0,1,2,0,0,1,0,0,0,0,0,0,0,12,8,0,0,4,1,0,0,0,2,0,0,0,1,0,1,10,0,0,0,1,0,4,0,1,0,0,0,2,7,0,3,6,1,0,4,10,1,1,2,0,2,12,7,1,0,8,11,1,0,19,0,0,0,1,0,1,14
31,19,0,1,10,4,12,10,0,4,144,29,2,4,18,5,8,7,12,0,2,49,4,8,2,1,1,4,0,1,61,4,12,0,0,10,2,3,15,1,17,7,2,3,2,5,2,2,2,12,3,1,0,1,0,26,12,1,12,4,4,4,4,4,50,12,2,0,1,6,0,1,0,1,17,2,0,4,1,4,2,0,0,6,6,40,3,3,1,5,0,39,3,17,1,7,6,3,35,19,7,16,11,3,1,6,10,7,3,81,13,0,18,10,0,12,9,1,3,0,14
18,13,5,3,16,26,29,77,5,9,29,283,53,3,21,23,27,48,63,6,14,94,13,14,11,15,18,6,0,5,33,3,8,3,5,28,7,32,1,3,34,36,34,16,4,20,10,8,7,35,4,8,2,0,2,84,16,2,15,7,0,1,13,4,97,2,14,3,4,2,3,1,4,5,6,4,0,5,0,2,0,2,0,7,7,21,9,3,26,6,0,39,1,4,8,23,4,0,48,120,17,13,56,12,10,24,43,15,8,70,17,6,10,15,0,4,3,1,1,3,24
